Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9942857142857143,0.9859154929577465,1.0,0.9929078014184397,0.9994557823129252
XGBoost,0.9942857142857143,0.9859154929577465,1.0,0.9929078014184397,0.9997278911564625
